"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"商城平台接口","用户管理","获取用户数据列表","0","7","0","0","0"
"商城平台接口","角色管理","添加角色","0","10","0","0","0"
"商城平台接口","权限管理","获取所有权限列表","0","3","0","0","0"
"商城平台接口","商品管理","添加商品","0","14","0","0","0"
"商城平台接口","商品管理","编辑商品","0","12","0","0","0"
"商城平台接口","用户管理","用户登录","0","8","0","0","0"
"商城平台接口","用户管理","删除单个用户","0","2","0","0","0"
"商城平台接口","用户管理","创建用户","0","16","0","0","0"
"商城平台接口","用户管理","分配用户角色","0","4","0","0","0"
"商城平台接口","用户管理","修改用户信息","0","2","0","0","0"
"商城平台接口","用户管理","修改用户状态","0","8","0","0","0"
"商城平台接口","角色管理","角色授权","0","9","0","0","0"
"商城平台接口","商品管理","查询指定ID的商品","0","3","0","0","0"
"商城平台接口","角色管理","删除角色指定权限","0","3","0","0","0"
"开发平台接口","查询模块","查询","0","3","0","0","0"
